NEWLINE
0 1 0 0 0
241;98;
241;98;
241;97;
240;96;
240;95;
239;95;
238;94;
238;93;
237;92;
236;90;
235;88;
233;87;
232;85;
230;84;
229;83;
228;81;
226;80;
225;79;
223;78;
222;76;
221;76;
218;74;
216;73;
214;73;
212;72;
211;71;
209;70;
207;70;
205;69;
202;68;
200;68;
199;68;
197;68;
195;68;
193;68;
190;68;
188;68;
186;69;
184;69;
182;70;
179;71;
176;73;
174;74;
172;76;
169;77;
165;79;
163;81;
161;83;
158;86;
156;88;
154;90;
151;94;
149;96;
146;100;
141;105;
139;109;
137;112;
135;115;
132;122;
130;125;
129;129;
126;135;
125;141;
124;144;
123;147;
123;153;
123;156;
123;159;
123;162;
123;166;
124;170;
125;174;
126;178;
130;186;
132;190;
136;196;
141;203;
147;210;
154;218;
163;225;
168;229;
173;233;
182;238;
191;244;
196;247;
200;249;
206;252;
211;253;
222;257;
234;260;
239;261;
251;263;
263;265;
269;266;
279;266;
285;266;
290;266;
296;266;
308;265;
314;264;
325;262;
331;261;
336;260;
346;258;
351;257;
NEWLINE
0 1 0 0 0
348;175;
346;174;
340;173;
335;172;
327;170;
320;169;
313;167;
305;165;
301;165;
294;164;
289;164;
284;164;
277;164;
273;164;
270;164;
265;164;
261;164;
256;166;
251;167;
247;169;
243;170;
241;171;
240;172;
238;174;
237;174;
236;176;
233;178;
231;181;
228;186;
227;190;
225;195;
224;198;
222;207;
220;213;
220;222;
220;229;
220;239;
221;246;
225;256;
229;262;
234;268;
238;272;
245;277;
250;280;
258;285;
265;287;
276;291;
284;293;
296;296;
305;298;
309;299;
322;301;
331;303;
344;305;
356;305;
366;305;
372;305;
381;305;
389;304;
395;303;
398;302;
399;302;
403;300;
406;298;
409;296;
NEWLINE
0 1 0 0 0
287;129;
286;129;
282;128;
277;127;
273;126;
270;126;
266;126;
262;126;
260;126;
256;126;
254;126;
253;127;
251;128;
248;130;
245;134;
243;137;
239;141;
236;146;
234;148;
230;153;
226;162;
225;166;
224;168;
220;177;
220;183;
220;192;
220;195;
221;202;
223;206;
229;214;
234;218;
239;221;
243;223;
249;226;
251;226;
256;227;
260;227;
264;227;
267;227;
NEWLINE
2 5 0 0 0
218;93;
218;92;
215;91;
214;91;
211;91;
208;91;
205;91;
200;91;
195;91;
190;91;
186;93;
180;96;
177;97;
172;99;
158;105;
149;111;
136;120;
127;127;
116;137;
109;146;
103;151;
102;154;
97;164;
95;169;
92;177;
92;182;
92;189;
93;195;
97;203;
100;209;
105;217;
109;222;
115;227;
120;232;
125;235;
127;237;
128;237;
131;240;
135;241;
138;243;
140;243;
NEWLINE
2 5 0 0 0
70;165;
69;165;
68;166;
68;168;
68;170;
68;173;
68;180;
70;188;
73;197;
78;205;
84;215;
85;218;
94;230;
106;245;
116;257;
131;271;
134;275;
151;288;
172;303;
189;312;
212;323;
231;329;
251;335;
267;338;
285;341;
300;341;
318;341;
333;338;
349;334;
360;330;
370;322;
371;322;
377;314;
379;307;
379;306;
379;297;
376;289;
368;282;
364;280;
359;280;
353;280;
342;280;
330;283;
311;290;
307;292;
284;306;
267;319;
247;342;
234;365;
226;387;
226;398;
226;400;
236;412;
252;418;
285;424;
327;426;
390;418;
434;409;
484;393;
506;379;
520;360;
521;345;
505;316;
502;312;
455;278;
407;256;
357;241;
349;240;
302;236;
260;242;
255;243;
225;255;
204;269;
196;280;
195;287;
207;294;
233;300;
281;304;
333;304;
398;297;
452;285;
499;266;
525;246;
540;220;
538;197;
509;164;
471;141;
407;126;
360;125;
313;139;
307;142;
280;168;
271;193;
272;213;
284;224;
312;230;
348;231;
410;225;
453;213;
500;192;
516;175;
521;153;
510;122;
479;89;
438;65;
375;42;
366;40;
319;37;
281;43;
252;60;
233;82;
222;106;
221;119;
229;131;
245;136;
273;138;
303;135;
333;121;
345;108;
351;87;
340;70;
337;66;
305;44;
262;29;
255;28;
200;27;
161;36;
125;57;
103;75;
101;78;
94;96;
95;105;
111;116;
135;121;
166;120;
189;111;
205;98;
209;84;
201;67;
172;48;
133;38;
91;40;
55;53;
30;77;
19;108;
22;131;
44;160;
73;179;
117;195;
153;201;
176;201;
189;196;
191;191;
185;184;
167;176;
153;176;
135;185;
127;200;
124;221;
131;239;
153;252;
189;259;
248;256;
317;240;
387;209;
415;184;
420;165;
403;158;
334;156;
247;176;
197;200;
193;216;
257;234;
462;250;
813;266;
1008;272;
889;272;
677;269;
540;268;
531;268;
506;267;
524;265;
587;259;
655;255;
661;252;
589;248;
455;250;
341;266;
334;268;
317;273;
357;274;
464;271;
476;270;
548;265;
537;262;
451;259;
326;267;
261;278;
266;280;
364;274;
536;260;
619;252;
622;252;
566;252;
473;256;
375;257;
365;257;
304;256;
303;253;
333;245;
376;239;
399;238;
401;238;
379;243;
339;249;
336;250;
306;248;
302;243;
307;235;
365;219;
534;196;
749;173;
789;167;
690;161;
445;155;
300;155;
271;156;
345;156;
551;156;
732;152;
772;152;
722;152;
529;156;
342;168;
280;170;
359;163;
599;148;
780;143;
822;143;
749;147;
549;164;
412;176;
380;178;
458;166;
587;151;
648;147;
639;147;
527;157;
376;161;
404;157;
511;139;
589;124;
547;118;
419;122;
285;140;
251;145;
275;141;
342;128;
383;116;
387;115;
381;116;
367;127;
353;138;
NEWLINE
2 5 0 255 128
175;190;
174;190;
164;190;
144;193;
117;207;
98;226;
89;251;
107;265;
157;270;
212;263;
238;250;
238;249;
229;235;
186;218;
127;215;
72;230;
37;255;
18;285;
14;306;
20;311;
31;312;
49;308;
60;303;
67;298;
76;292;
92;285;
103;283;
104;284;
104;295;
106;330;
118;366;
119;368;
145;388;
189;387;
262;368;
312;349;
331;335;
334;324;
329;306;
NEWLINE
2 5 0 255 128
243;99;
244;99;
247;103;
255;125;
264;153;
275;177;
292;199;
310;221;
333;244;
358;260;
385;273;
403;281;
423;291;
442;299;
462;306;
488;315;
509;323;
526;326;
544;329;
546;329;
561;329;
571;328;
571;327;
580;316;
581;286;
563;231;
519;172;
461;120;
397;80;
360;67;
341;65;
330;64;
317;63;
289;60;
249;58;
203;58;
161;58;
119;60;
87;70;
56;78;
NEWLINE
2 5 0 255 128
245;64;
242;65;
211;75;
181;87;
153;99;
118;119;
95;140;
78;158;
72;165;
